quantity_required,quantity_available,quality_required,quality_available,target_price,farmer_price,days_required,days_to_harvest,distance_km,match_score
2,1.3,A,A,28,22,7,11,29,68.97
2,2.1,A,A,27,32,12,5,30,90.65
2,1.4,A,A,33,35,9,3,7,87.91
5,6.4,B,B,39,34,8,8,7,96.24
10,11.8,B,A,38,37,7,14,20,82.41
3,2.7,A,B,32,29,8,7,24,64.16
5,4.9,A,A,39,36,6,9,26,84.24
10,6.5,A,A,30,32,4,8,19,67.63
10,8.4,B,B,26,22,11,6,10,89.11
10,13.9,B,B,38,41,10,5,10,96.46
2,2.2,A,B,23,17,6,8,26,59.97
8,9.2,B,A,37,37,4,14,43,75.76
5,2.0,B,B,25,33,11,14,13,68.94
2,2.1,B,A,40,43,12,14,12,93.76
10,9.4,A,A,39,42,9,15,53,75.89
2,1.0,A,B,38,32,5,14,36,35.71
3,2.1,B,B,37,35,6,10,50,70.84
3,2.6,B,B,32,27,9,5,16,87.93
2,0.8,A,A,38,37,7,3,59,69.6
5,3.5,A,B,36,34,7,10,10,57.35
10,12.9,B,A,27,22,11,3,44,87.22
8,9.1,B,A,34,27,4,8,48,70.64
2,2.0,A,A,26,31,7,4,19,92.2
2,0.9,B,A,37,31,5,14,56,54.2
8,10.8,B,A,35,32,7,8,2,97.68
5,5.8,B,B,29,25,10,5,20,92.11
2,0.9,A,B,30,38,4,15,35,29.8
10,10.5,A,A,25,29,5,3,58,87.08
10,8.6,A,B,39,39,5,5,44,62.86
3,3.4,B,B,32,38,6,7,50,85.49
2,1.0,B,A,39,47,5,6,10,77.63
2,1.1,A,B,31,39,8,2,44,48.81
5,2.6,A,A,24,20,8,6,20,78.69
5,4.8,A,B,40,33,8,3,42,61.59
5,6.2,A,B,20,17,9,13,30,59.54
8,11.5,A,A,23,16,5,15,25,74.24
3,2.2,B,A,24,27,4,5,45,75.75
2,2.9,B,A,37,36,10,15,12,91.46
3,3.6,B,B,20,27,6,8,53,78.68
3,2.5,B,A,25,32,5,5,14,87.87
8,5.2,B,A,29,33,7,7,19,84.4
5,4.2,B,B,40,32,12,3,58,83.08
3,3.2,B,B,21,26,5,14,22,75.58
10,6.8,A,B,32,24,7,10,53,44.13
3,4.3,B,B,33,35,5,12,56,72.29
5,4.2,B,B,33,29,9,5,28,87.84
8,6.8,A,A,39,40,8,6,15,91.71
10,8.9,B,A,34,42,11,9,52,83.6
3,3.4,A,B,29,23,12,15,50,56.05
5,2.1,A,A,26,33,6,11,56,55.79
8,9.5,B,B,40,47,7,8,17,89.55
2,1.2,A,B,33,26,7,10,17,50.6
2,2.3,B,B,24,30,11,11,54,85.88
10,13.9,B,B,37,43,11,6,50,85.75
5,3.5,B,A,40,41,7,5,19,86.04
10,6.5,A,A,24,22,6,3,28,81.86
10,6.3,B,B,33,37,4,14,39,65.46
2,2.9,B,B,35,39,4,15,59,74.53
8,5.6,A,B,35,27,7,8,23,55.36
8,11.8,A,A,34,38,6,11,38,78.2
2,1.2,B,B,24,28,11,7,15,81.49
5,3.4,B,A,28,35,10,2,49,75.76
5,6.3,A,A,40,32,5,5,14,94.56
10,9.2,A,A,27,25,6,9,46,78.44
5,6.3,A,A,39,40,5,3,39,89.79
5,2.4,B,A,32,27,7,13,51,57.62
10,7.8,A,B,38,41,4,3,34,60.61
2,1.8,B,B,35,41,5,13,11,76.11
10,12.5,B,B,39,44,12,15,48,84.46
5,6.8,A,A,22,29,8,11,41,80.48
5,3.0,A,A,35,38,9,14,18,73.71
10,9.7,B,A,37,31,4,5,48,82.13
10,8.9,A,A,35,29,11,6,16,89.69
3,2.8,B,B,38,43,9,13,37,80.62
8,5.2,B,A,29,31,8,3,49,78.46
3,2.1,A,B,26,21,11,15,14,53.08
5,5.9,A,A,29,29,4,2,5,99.21
3,3.1,B,B,23,30,4,9,23,73.05
2,2.6,B,B,35,42,5,3,38,88.92
2,1.0,A,A,24,19,8,10,50,66.75
10,9.0,A,B,36,37,10,15,39,58.1
5,7.2,A,A,39,37,5,6,44,85.5
3,1.7,A,B,37,43,5,13,40,35.64
2,2.3,A,B,29,23,8,12,16,61.86
10,10.0,A,A,33,33,5,15,11,81.09
3,2.6,B,B,39,40,8,13,27,82.48
10,10.6,B,B,34,36,5,11,18,78.33
3,3.7,A,A,28,35,4,10,43,71.17
5,5.5,A,B,38,32,10,9,24,66.68
5,4.3,A,B,25,26,9,12,27,60.85
10,7.5,A,B,34,29,5,14,27,45.62
2,1.2,B,B,33,40,4,12,30,63.8
3,4.3,B,B,37,44,6,3,3,97.51
10,10.1,A,B,25,19,8,5,55,61.85
8,7.6,A,B,40,48,6,13,19,50.36
8,8.1,B,B,27,25,11,11,34,92.7
3,2.3,A,B,28,20,10,6,48,51.88
10,9.9,B,B,24,26,11,10,50,88.21
8,8.2,B,A,26,31,7,2,22,92.73
8,7.6,B,A,40,36,6,10,39,78.03
2,2.8,B,A,23,19,12,8,57,87.14
3,2.3,A,B,35,29,8,15,23,48.26
10,13.6,B,A,30,24,11,5,42,88.34
5,7.4,A,A,22,29,10,4,46,83.63
2,1.4,A,B,30,35,4,4,17,59.39
10,4.9,A,B,25,24,6,9,60,41.73
3,2.7,B,A,40,46,8,6,45,85.19
2,2.2,B,B,31,31,8,9,56,87.33
8,6.6,B,B,23,24,7,13,20,75.11
8,11.2,B,B,20,28,4,6,51,75.7
10,10.8,B,A,27,22,7,12,43,75.14
8,9.6,A,A,38,39,9,7,49,89.34
3,3.0,A,B,37,34,9,6,60,64.68
8,7.3,B,A,30,26,5,14,16,77.95
8,3.3,B,A,22,29,10,7,45,68.01
5,2.6,B,A,40,47,9,2,41,75.44
10,11.1,B,B,39,40,7,12,28,81.64
2,1.1,A,A,29,25,11,8,31,77.03
10,13.7,B,A,38,45,6,11,28,79.97
5,4.4,A,A,31,34,7,3,45,84.93
5,3.0,A,A,32,38,8,3,44,74.3
10,6.7,A,A,21,27,9,11,15,76.33
10,12.9,A,A,38,40,7,14,11,82.9
10,14.9,A,B,28,25,6,3,44,65.52
3,3.1,A,A,31,28,7,6,5,95.57
8,7.1,A,B,22,18,11,9,34,60.07
10,9.0,A,A,36,29,8,9,56,80.84
2,2.8,B,B,34,30,5,3,10,94.75
10,7.2,B,B,32,27,12,14,46,75.23
10,13.8,A,B,33,35,11,15,31,61.73
2,2.3,B,B,33,29,9,12,32,84.44
2,2.4,A,B,33,29,5,10,5,56.92
10,7.9,B,B,23,16,10,6,40,78.86
2,1.3,A,A,24,27,11,15,37,73.62
5,7.4,A,A,33,33,12,2,13,96.49
5,3.0,B,A,31,35,4,3,11,84.18
2,1.6,A,B,36,38,7,4,25,62.14
5,2.9,A,A,21,25,6,3,19,79.56
8,6.8,B,A,39,47,11,3,24,86.32
5,2.2,B,B,36,29,8,2,15,75.52
3,2.3,A,A,28,35,8,13,29,71.53
8,10.5,A,B,36,30,12,8,57,62.63
8,10.8,A,B,34,38,5,13,42,48.92
2,1.2,B,B,20,28,9,13,60,62.78
8,8.4,A,A,27,31,10,15,21,86.32
3,2.9,B,A,25,33,5,10,14,76.42
5,3.3,B,A,40,40,6,5,13,87.61
2,1.8,A,B,40,42,11,15,42,56.41
8,8.8,A,B,35,28,11,7,34,62.5
8,6.4,B,B,21,16,4,12,57,66.15
2,2.9,B,A,34,40,12,14,38,86.98
5,7.3,B,B,36,31,6,14,59,73.57
2,2.4,A,B,21,23,7,10,41,57.1
5,6.3,B,A,32,34,10,3,23,92.53
8,6.1,B,A,28,31,6,6,43,82.93
8,5.9,A,B,39,41,5,15,10,49.78
10,9.6,A,A,40,43,10,6,13,96.5
5,7.5,B,A,26,20,7,6,56,86.54
10,10.6,A,A,30,27,6,4,55,88.77
10,8.5,A,A,34,40,4,11,20,73.98
8,5.9,A,B,37,35,7,7,45,58.83
8,7.6,B,B,29,26,10,15,14,87.34
3,4.1,B,A,21,26,11,15,35,84.19
5,4.5,A,A,25,30,8,3,60,81.89
8,3.7,B,B,20,18,10,8,7,79.97
2,2.5,B,A,23,16,9,6,60,85.23
3,4.2,B,A,34,34,4,5,55,84.85
10,6.6,B,A,23,16,8,5,28,78.67
10,13.2,B,B,22,15,5,12,34,72.14
3,3.2,B,A,33,38,4,4,44,88.84
10,10.0,B,A,22,27,12,15,32,83.48
8,6.3,B,A,28,31,4,5,48,78.76
2,1.6,B,B,24,21,4,15,51,67.24
8,9.5,A,B,24,17,5,6,14,61.54
3,2.9,A,B,30,30,8,2,50,64.59
5,3.5,B,B,21,21,9,8,49,80.96
8,9.3,B,B,25,33,11,6,53,81.93
8,8.0,A,B,33,28,6,3,22,68.21
5,2.9,B,B,39,42,10,9,4,85.97
5,2.4,B,B,28,31,4,10,53,58.26
3,1.3,A,A,24,23,11,14,43,68.94
8,9.2,A,B,39,42,6,9,50,54.27
3,3.3,B,A,32,27,9,2,49,85.82
10,6.9,B,B,37,43,5,5,41,78.4
8,10.7,A,B,23,20,6,13,30,53.38
5,5.0,B,B,22,20,12,13,47,89.24
3,1.6,B,A,36,32,7,5,52,73.75
5,2.7,B,A,34,28,12,6,27,79.27
8,4.3,B,B,33,27,5,9,31,65.01
5,6.2,A,A,37,42,6,10,60,78.77
2,1.2,A,A,29,32,6,10,59,65.07
2,1.4,B,B,26,20,12,10,43,76.46
10,13.3,A,A,25,17,9,3,4,94.59
10,12.4,B,B,40,32,7,9,58,82.22
5,6.4,B,B,35,36,7,9,6,94.7
3,2.7,B,B,33,29,11,7,57,85.45
5,4.8,B,A,24,26,9,5,31,89.42
8,3.6,A,B,24,29,5,5,57,45.94
5,4.7,B,B,26,33,6,6,33,84.31
8,8.3,B,A,27,20,7,6,33,88.6
8,10.7,B,B,37,33,4,6,48,80.2
8,3.7,B,A,21,20,10,10,20,77.22
10,13.1,B,A,37,33,8,3,27,91.93
5,5.3,B,B,24,32,7,2,4,90.69
5,2.8,B,A,36,38,11,11,22,79.94
10,9.6,B,B,38,39,9,9,54,86.34
5,6.4,A,A,33,40,8,6,43,88.29
10,5.9,A,B,21,17,11,15,45,43.4
10,8.9,A,B,26,22,4,8,46,43.24
10,9.7,B,B,21,25,6,9,35,80.3
3,3.0,B,B,37,44,9,5,17,91.93
5,5.9,A,B,29,31,8,9,24,67.19
5,4.1,B,B,23,26,12,14,53,78.08
2,2.8,B,B,22,30,9,5,14,91.24
5,5.4,B,A,24,23,5,2,44,91.99
3,2.6,A,B,21,16,5,12,51,39.79
10,9.3,A,A,33,34,11,7,20,93.88
2,2.8,A,A,37,42,4,15,13,81.43
2,2.9,B,B,35,28,6,2,21,92.07
2,3.0,B,B,29,25,11,15,34,84.86
3,3.6,A,B,30,27,6,2,49,62.55
5,6.5,A,B,25,19,10,8,44,59.78
3,1.2,B,B,30,29,7,9,50,66.12
5,3.4,B,B,38,37,4,2,44,79.55
5,7.1,A,B,32,27,12,12,60,63.64
5,4.6,A,B,27,30,6,8,46,56.37
8,7.8,A,B,27,21,5,11,9,51.25
10,5.6,A,B,38,46,12,9,9,56.51
10,8.9,B,A,22,29,12,4,34,83.2
10,11.4,A,B,37,29,11,8,18,68.34
3,2.3,A,A,21,23,10,2,59,79.37
8,4.8,A,A,29,34,10,7,59,74.08
8,4.4,B,B,22,18,12,4,36,75.24
3,4.4,A,B,20,25,4,13,36,47.5
8,6.2,A,B,27,25,11,13,50,52.49
8,3.8,A,A,27,33,7,11,45,63.05
2,1.8,A,A,21,27,10,15,51,72.01
10,10.4,B,B,27,26,9,6,58,87.83
10,7.0,A,A,33,38,8,10,33,75.81
5,5.8,B,B,36,32,9,6,26,91.31
10,7.3,B,A,27,33,7,2,37,79.71
8,5.4,A,B,32,26,7,9,56,46.7
10,8.1,A,A,21,28,8,3,14,86.05
10,13.6,A,B,35,36,7,2,15,73.18
2,1.7,B,A,27,29,7,14,20,74.54
10,8.0,B,B,29,35,8,3,53,81.79
8,6.0,B,A,26,25,9,13,11,80.93
10,6.2,B,A,29,33,6,11,55,62.32
10,14.6,B,B,28,34,11,4,48,87.29
3,1.8,A,A,37,45,11,2,55,75.06
2,2.7,A,A,33,27,6,13,11,77.2
10,10.8,B,B,31,38,4,2,2,95.21
8,9.6,A,B,20,15,12,10,54,60.79
8,7.8,A,A,23,21,5,11,35,74.52
5,4.1,B,B,32,38,5,11,17,74.41
3,1.5,B,B,22,27,4,10,32,57.28
2,2.7,A,B,22,18,11,10,60,59.53
3,4.2,B,B,28,21,4,4,56,84.26
3,2.2,A,A,32,36,5,12,59,64.66
8,9.8,A,B,22,16,12,3,29,62.67
2,2.9,B,B,39,31,10,12,19,90.23
8,8.1,B,B,27,32,9,4,45,87.64
8,10.2,A,A,39,33,8,6,11,94.24
3,1.6,B,A,30,31,9,9,25,81.38
2,1.7,A,B,22,18,6,2,7,64.88
2,1.4,B,B,32,26,4,13,59,62.49
3,1.7,A,B,32,32,6,9,11,50.55
8,7.5,B,A,33,36,8,6,17,93.79
8,4.4,A,A,34,38,5,7,55,68.63
5,6.5,B,A,30,31,10,7,40,93.12
3,4.4,B,B,30,31,6,13,46,75.66
10,7.1,A,B,30,33,10,3,38,55.5
10,14.5,A,B,37,35,4,9,53,48.08
2,2.2,B,A,35,35,6,12,11,83.66
8,8.3,A,B,34,27,11,14,25,62.6
10,11.2,A,B,23,20,7,12,41,51.65
8,3.3,B,B,33,32,5,10,49,57.04
10,8.3,A,A,34,37,9,2,32,85.15
8,6.3,A,B,23,29,6,14,15,45.49
5,6.0,B,B,23,25,11,3,21,92.24
2,2.3,A,A,30,29,5,10,13,81.94
5,6.4,B,A,34,31,7,12,44,78.45
2,1.7,A,A,34,32,10,6,50,85.14
2,1.6,A,A,37,43,6,3,18,87.84
8,8.6,B,A,39,42,10,7,56,88.29
3,3.4,B,B,39,34,5,5,21,91.7
5,4.3,A,A,36,40,10,8,13,90.92
10,9.4,A,A,37,34,6,7,55,83.88
2,1.1,B,B,20,23,11,10,43,74.88
8,4.7,B,A,34,33,11,6,4,85.34
10,10.2,B,B,25,33,11,3,38,84.46
10,12.4,B,B,37,35,4,8,8,83.26
3,2.1,B,A,21,22,11,15,9,83.9
3,4.0,A,B,38,35,9,11,10,69.23
3,3.0,A,A,38,40,9,13,20,87.44
5,7.1,A,B,24,20,10,13,57,55.7
3,2.8,B,B,27,32,10,8,30,86.6
2,2.3,B,B,36,42,8,9,22,90.72
2,2.7,B,B,40,38,9,8,54,87.85
5,5.0,B,A,29,36,9,14,23,83.82
2,0.8,A,A,23,29,11,9,2,78.35
8,4.6,A,B,24,18,8,12,25,43.75
5,5.4,A,A,21,21,10,12,7,96.41
2,1.1,A,A,35,43,5,12,30,58.97
5,4.6,A,A,33,37,6,3,48,86.8
2,1.1,B,A,31,27,8,3,35,77.17
10,11.9,A,A,34,39,9,11,45,84.5
3,3.7,A,B,23,26,6,8,22,64.16
3,2.0,B,B,40,32,5,15,56,61.63
5,3.0,A,B,36,37,12,12,5,62.58
